Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,npxG,xAG,PrgC_standard,PrgP_standard,PrgR_standard,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Total Cmp,Total Cmp%,TotDist_passing,Short Cmp%,Medium Cmp%,Long Cmp%,KP,1/3_passing,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_defense,Lost_defense,Blocks,Sh_defense,Pass_defense,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ%,Tkld%,Carries,TotDist (Carries),PrgDist (Carries),PrgC_possession,1/3 (Carries),CPA,Mis,Dis,Rec,PrgR (Receiving),Fls,Fld,Off,Crs,Recov,Won,Lost_misc,Won%,Transfer_Value
Aaron Ramsdale,eng ENG,Southampton,GK,26.0,27,27,2430,0,0,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.3,67.1,7.4,28.6,N/a,0.0,N/a,N/a,712,64.4,19961,99.5,96.1,38.4,0,32,1,0,0,3,0.11,0,0.0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,3681,2156,0,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0,15.0
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27.0,32,31,2794,2,2,1,0,1.2,1.2,2.9,98,125,139,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.16,0.13,15.3,1277,81.1,18273,90.0,82.0,47.4,29,89,30,11,125,83,2.67,7,0.23,61,43,26,7,31,9,22,59,1960,136,620,838,531,40,101,53.5,34.7,933,5937,3303,98,57,12,28,21,1135,139,22,24,4,64,155,22,29,43.1,20.0
Abdoulaye Doucouré,ml MLI,Everton,MF,32.0,30,29,2425,3,1,5,1,3.9,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.1,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,2839,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3,10.0
Adam Smith,eng ENG,Bournemouth,DF,34.0,22,17,1409,0,0,6,0,0.7,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,1295,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0,5.0
Adam Armstrong,eng ENG,Southampton,"FW,MF",28.0,20,15,1248,2,2,4,0,3.3,2.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,1324,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7,8.0
Alexis Mac Allister,ar ARG,Liverpool,MF,26.0,33,30,2553,5,4,6,0,2.8,2.8,4.4,34,170,78,0.18,0.14,0.1,0.16,N/a,N/a,N/a,N/a,34.2,0.46,0.13,18.1,1245,83.4,19843,90.1,88.3,55.2,43,118,34,2,170,118,4.16,14,0.49,95,58,101,46,60,6,54,22,1827,55,279,944,624,60,42,38.1,50.0,893,3646,1924,34,41,5,31,22,1203,78,60,39,2,84,145,19,34,35.8,65.0
Alisson,br BRA,Liverpool,GK,32.0,24,24,2148,0,0,0,0,0.0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.02,0.84,71.8,37.5,N/a,N/a,0.0,N/a,N/a,630,83.1,13996,98.9,98.5,47.8,1,10,0,0,0,6,0.25,1,0.04,1,0,1,1,0,0,0,0,801,577,786,15,0,0,1,100.0,0.0,509,1996,1152,0,0,0,1,0,485,0,0,2,0,0,41,6,0,100.0,40.0
Amadou Onana,be BEL,Aston Villa,MF,23.0,23,17,1378,3,0,4,0,2.1,2.1,0.3,21,60,14,0.2,0.0,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.39,0.18,14.7,606,88.5,9553,94.2,89.8,73.7,8,55,9,1,60,27,1.76,4,0.26,47,24,25,11,14,6,8,24,857,62,233,505,133,21,17,64.7,17.6,468,2419,1289,21,20,1,10,9,579,14,30,24,0,1,66,27,18,60.0,50.0
Andrew Robertson,sct SCO,Liverpool,DF,31.0,31,27,2308,0,0,3,1,1.0,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,N/a,N/a,N/a,N/a,15.4,0.08,0.0,14.5,1456,83.0,24521,94.1,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,4511,2588,58,48,6,25,11,1302,95,11,8,2,136,91,6,12,33.3,30.0
Bernardo Silva,pt POR,Manchester City,"MF,FW",30.0,30,26,2401,3,4,7,0,3.2,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,N/a,N/a,N/a,N/a,35.7,0.37,0.11,12.9,1370,87.1,20876,92.2,88.4,66.7,47,75,33,7,115,83,3.11,8,0.3,52,34,52,28,33,7,26,20,1816,48,318,739,777,131,59,45.8,42.4,1137,7253,3650,94,60,31,21,32,1346,184,26,29,3,54,93,5,10,33.3,60.0
