Team,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG
all,1.0,1.3258293838862558,2.226742916974105,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
all,N/a,N/a,N/a,0.0,0.8412322274881516,1.4332511276404174,N/a,N/a,N/a,N/a,N/a,N/a
all,N/a,N/a,N/a,N/a,N/a,N/a,0.9,1.3354265402843601,1.8419921519010563,N/a,N/a,N/a
all,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0.6,0.9822274881516587,1.1810865825576289
West Ham,0.0,0.23841059602649006,1.1237354924330023,1.0,0.5695364238410596,0.7616642635250297,0.6,0.7463576158940397,0.9762359574363216,1.1,0.7874172185430462,0.6897636924591483
Southampton,0.0,0.8275862068965517,1.0713464664764276,0.0,0.5172413793103449,0.8289705171033532,0.5,1.0448275862068965,1.362399722888297,0.5,0.7896551724137931,0.8957617777967402
Everton,1.0,1.1058823529411765,1.0002800728244243,1.0,0.9764705882352941,0.5558449293050839,1.3,1.3964705882352941,0.9898829967925177,1.3,1.2952941176470587,0.5569700945962088
Manchester City,1.0,2.64,4.414748010928823,0.0,1.92,2.5645012510557814,1.3,2.5200000000000005,4.175424130153328,1.5,2.0239999999999996,2.2450463989266085
Leicester City,4.0,3.134831460674157,1.659620789353256,0.0,0.23595505617977527,0.7074678262859918,2.9,2.38314606741573,1.374544218265572,0.8,0.8191011235955056,0.5638496746180715
Brighton,1.0,0.7597402597402597,1.4328325381637754,0.0,0.23376623376623376,0.8307190978339094,0.75,0.9558441558441557,1.215154150526091,0.4,0.4805194805194805,0.7071139836635526
Bournemouth,1.0,2.260869565217391,3.4930761554349172,1.0,1.6521739130434783,1.991086858344044,1.1,2.639130434782609,3.500095989649269,1.1,1.7739130434782608,1.8273720304167422
Crystal Palace,0.0,1.5510204081632653,1.8733300269817952,0.0,0.21768707482993196,0.9401035122452768,1.0,1.0346938775510206,1.4145357465436954,0.4,0.44013605442176873,0.995170520526031
Fulham,0.5,0.7567567567567568,1.4550948334881242,1.0,0.7094594594594594,1.1852459108107412,1.0,1.1601351351351352,1.0842559042809075,0.95,0.7898648648648648,0.8314187419534215
Manchester Utd,4.0,3.2111111111111112,1.6992691386278789,1.0,0.9777777777777777,1.1115105399408054,1.7,1.7044444444444442,1.252943600254308,2.1,1.8544444444444446,0.9849611993853521
Ipswich Town,1.0,1.4166666666666667,1.101074743783477,0.0,1.3653846153846154,1.4550758253672689,1.2,1.4916666666666667,0.856471255065042,0.4,0.7,0.6123460965299639
Newcastle Utd,0.0,2.739130434782609,5.011054972434337,1.0,2.0869565217391304,2.843062425021507,0.5,2.547826086956522,4.265279439339487,0.9,1.852173913043478,2.2405091883152144
Liverpool,1.0,3.761904761904762,6.503112807761847,2.0,2.8095238095238093,3.9701265423037544,1.7,3.6285714285714286,5.487544337601552,1.2,2.628571428571429,3.120599759203807
Aston Villa,0.0,0.8202764976958525,1.5122811800850822,0.0,0.7695852534562212,1.2443934687094422,0.5,1.321198156682028,1.6363669227659525,0.4,1.052073732718894,1.110850455857609
Wolves,1.0,2.1739130434782608,3.9387604639143587,1.0,1.6956521739130435,2.224548628551535,0.8,1.7652173913043478,2.4911860438631117,0.9,1.4043478260869564,1.777761171420024
Nott'ham Forest,0.0,0.611764705882353,2.3304103340248843,1.0,1.188235294117647,1.2770326248494877,0.1,0.5623529411764705,1.495308255414744,1.1,1.1752941176470586,0.7214248273469697
Tottenham,0.0,2.185185185185185,3.2703450422175178,1.0,1.6666666666666667,2.401922307076307,0.7,2.0740740740740744,2.9143666144692166,0.9,1.5518518518518518,2.015014863539448
Chelsea,1.0,0.7894736842105263,1.6179112482611377,1.0,0.7039473684210527,1.102908951886768,0.7,0.8328947368421052,1.7821326726757674,1.05,0.8598684210526315,1.1644434118468434
Arsenal,2.0,2.772727272727273,2.8103858095052354,1.5,2.272727272727273,2.6758499883538236,1.65,2.4999999999999996,2.587515815456612,0.9,1.886363636363636,2.128557628009535
Brentford,0.0,2.761904761904762,5.2906026301808184,2.0,1.8571428571428572,2.455314934702151,0.8,2.4809523809523815,3.9303459195876194,1.2,1.7952380952380953,2.241088171062484
